dt,future_dt,humidity,pop,pressure,temp_max,temp_min,uvi,weather_id,wind_speed,wind_gust,rain,snow
2026-02-13 14:17:38,2026-02-13 12:00:00,84,1,1000,5.74,-1.11,0.36,501,11.27,16.64,23.33,0
2026-02-13 14:17:38,2026-02-14 12:00:00,64,1,1017,5.67,-1.73,0.82,616,9.59,20.53,1.15,4.51
2026-02-13 14:17:38,2026-02-15 12:00:00,87,1,996,8.43,4.03,0.95,500,8.33,15.57,0.42,0
2026-02-13 14:17:38,2026-02-16 12:00:00,91,0.23,995,7.7,1.69,1,500,9.16,16.8,0.68,0
2026-02-13 14:17:38,2026-02-17 12:00:00,68,1,1018,4.49,-0.73,0.87,600,9.9,18.39,0,1.22
2026-02-13 14:17:38,2026-02-18 12:00:00,92,1,989,10.06,3.27,1,501,10.71,17.94,10.78,0
2026-02-13 14:17:38,2026-02-19 12:00:00,93,1,986,7.25,4.46,1,501,10.33,21.25,9.66,0
2026-02-13 14:17:38,2026-02-20 12:00:00,97,1,994,5.41,-0.34,1,616,8.87,12.89,17.31,3.27
2026-02-13 15:17:38,2026-02-13 12:00:00,85,1,1001,5.74,-1.11,0.36,501,11.27,16.64,23.33,0
2026-02-13 15:17:38,2026-02-14 12:00:00,64,1,1017,5.67,-1.73,0.82,616,9.59,20.53,1.15,4.51
2026-02-13 15:17:38,2026-02-15 12:00:00,87,1,996,8.43,4.03,0.95,500,8.33,15.57,0.42,0
2026-02-13 15:17:38,2026-02-16 12:00:00,91,0.23,995,7.7,1.69,1,500,9.16,16.8,0.68,0
2026-02-13 15:17:38,2026-02-17 12:00:00,68,1,1018,4.49,-0.73,0.87,600,9.9,18.39,0,1.22
2026-02-13 15:17:38,2026-02-18 12:00:00,92,1,989,10.06,3.27,1,501,10.71,17.94,10.78,0
2026-02-13 15:17:38,2026-02-19 12:00:00,93,1,986,7.25,4.46,1,501,10.33,21.25,9.66,0
2026-02-13 15:17:38,2026-02-20 12:00:00,97,1,994,5.41,-0.34,1,616,8.87,12.89,17.31,3.27
2026-02-13 16:17:38,2026-02-13 12:00:00,89,1,1000,5.74,-1.11,0.36,501,11.27,16.64,23.33,0
2026-02-13 16:17:38,2026-02-14 12:00:00,64,1,1017,5.67,-1.73,0.82,616,9.59,20.53,1.15,4.51
2026-02-13 16:17:38,2026-02-15 12:00:00,87,1,996,8.43,4.03,0.95,500,8.33,15.57,0.42,0
2026-02-13 16:17:38,2026-02-16 12:00:00,91,0.23,995,7.7,1.69,1,500,9.16,16.8,0.68,0
2026-02-13 16:17:38,2026-02-17 12:00:00,68,1,1018,4.49,-0.73,0.87,600,9.9,18.39,0,1.22
2026-02-13 16:17:38,2026-02-18 12:00:00,92,1,989,10.06,3.27,1,501,10.71,17.94,10.78,0
2026-02-13 16:17:38,2026-02-19 12:00:00,93,1,986,7.25,4.46,1,501,10.33,21.25,9.66,0
2026-02-13 16:17:38,2026-02-20 12:00:00,97,1,994,5.41,-0.34,1,616,8.87,12.89,17.31,3.27
2026-02-13 17:17:38,2026-02-13 12:00:00,92,1,999,5.74,-1.11,0.36,501,11.27,16.64,23.33,0
2026-02-13 17:17:38,2026-02-14 12:00:00,64,1,1017,5.67,-1.73,0.82,616,9.59,20.53,1.15,4.51
2026-02-13 17:17:38,2026-02-15 12:00:00,87,1,996,8.43,4.03,0.95,500,8.33,15.57,0.42,0
2026-02-13 17:17:38,2026-02-16 12:00:00,91,0.23,995,7.7,1.69,1,500,9.16,16.8,0.56,0
2026-02-13 17:17:38,2026-02-17 12:00:00,68,1,1018,4.49,-0.73,0.87,600,9.9,18.39,0,1.22
2026-02-13 17:17:38,2026-02-18 12:00:00,92,1,989,10.06,3.27,1,501,10.71,17.94,10.78,0
2026-02-13 17:17:38,2026-02-19 12:00:00,93,1,986,7.25,4.46,1,501,10.33,21.25,9.66,0
2026-02-13 17:17:38,2026-02-20 12:00:00,97,1,994,5.41,-0.34,1,616,8.87,12.89,17.31,3.27
2026-02-13 18:17:38,2026-02-13 12:00:00,92,1,999,5.74,-1.11,0.36,501,11.27,16.64,23.33,0
2026-02-13 18:17:38,2026-02-14 12:00:00,64,1,1017,5.67,-1.73,0.82,616,9.59,20.53,1.15,4.51
2026-02-13 18:17:38,2026-02-15 12:00:00,87,1,996,8.43,4.03,0.95,500,8.33,15.57,0.42,0
2026-02-13 18:17:38,2026-02-16 12:00:00,91,0.23,995,7.7,1.69,1,500,9.16,16.8,0.56,0
2026-02-13 18:17:38,2026-02-17 12:00:00,68,1,1018,4.49,-0.73,0.87,600,9.9,18.39,0,1.22
2026-02-13 18:17:38,2026-02-18 12:00:00,92,1,989,10.06,3.27,1,501,10.71,17.94,10.78,0
2026-02-13 18:17:38,2026-02-19 12:00:00,93,1,986,7.25,4.46,1,501,10.33,21.25,9.66,0
2026-02-13 18:17:38,2026-02-20 12:00:00,97,1,994,5.41,-0.34,1,616,8.87,12.89,17.31,3.27
2026-02-14 12:05:32,2026-02-14 12:00:00,74,1,1017,5.07,-1.77,0.77,616,8.36,18.7,2.76,0.94
2026-02-14 12:05:32,2026-02-15 12:00:00,83,1,995,8.6,4.54,1.01,501,8.6,15.98,2.14,0
2026-02-14 12:05:32,2026-02-16 12:00:00,85,0.2,1002,7.59,-0.2,0.74,500,9.06,16.63,0.16,0
2026-02-14 12:05:32,2026-02-17 12:00:00,56,0.41,1015,4.61,-0.96,0.89,600,8.57,14.15,0,0.43
2026-02-14 12:05:32,2026-02-18 12:00:00,87,1,988,6.24,2.11,0.66,616,10.75,19.69,6.64,7.82
2026-02-14 12:05:32,2026-02-19 12:00:00,73,1,1018,4.19,-0.71,1,601,10.52,14.99,0,4.19
2026-02-14 12:05:32,2026-02-20 12:00:00,77,0,1029,8.47,-0.88,1,803,3.61,12.59,0,0
2026-02-14 12:05:32,2026-02-21 12:00:00,92,1,1017,11.15,5.38,1,501,9.15,16.56,8.04,0
2026-02-14 12:44:45,2026-02-14 12:00:00,71,1,1016,5.22,-1.77,0.77,616,8.36,18.7,2.76,0.94
2026-02-14 12:44:45,2026-02-15 12:00:00,83,1,995,8.6,4.54,1.01,501,8.6,15.98,2.14,0
2026-02-14 12:44:45,2026-02-16 12:00:00,85,0.2,1002,7.59,-0.2,0.74,500,9.06,16.63,0.16,0
2026-02-14 12:44:45,2026-02-17 12:00:00,56,0.41,1015,4.61,-0.96,0.89,600,8.57,14.15,0,0.43
2026-02-14 12:44:45,2026-02-18 12:00:00,87,1,988,6.24,2.11,0.66,616,10.75,19.69,6.64,7.82
2026-02-14 12:44:45,2026-02-19 12:00:00,73,1,1018,4.19,-0.71,1,601,10.52,14.99,0,4.19
2026-02-14 12:44:45,2026-02-20 12:00:00,77,0,1029,8.47,-0.88,1,803,3.61,12.59,0,0
2026-02-14 12:44:45,2026-02-21 12:00:00,92,1,1017,11.15,5.38,1,501,9.15,16.56,8.04,0
2026-02-14 13:44:45,2026-02-14 12:00:00,65,1,1016,5.42,-1.77,0.77,616,9.09,19.38,2.8,0.69
2026-02-14 13:44:45,2026-02-15 12:00:00,90,1,994,9.06,4.37,1.01,501,8.58,15.96,4.06,0
2026-02-14 13:44:45,2026-02-16 12:00:00,80,0.56,997,7.12,0.4,0.74,500,10.91,19.62,0.58,0
2026-02-14 13:44:45,2026-02-17 12:00:00,64,0,1015,3.94,-1.19,0.89,804,5.14,11.67,0,0
2026-02-14 13:44:45,2026-02-18 12:00:00,58,0.39,998,4.54,3.28,0.66,600,12.35,19.22,0,0.25
2026-02-14 13:44:45,2026-02-19 12:00:00,58,0,1017,5.84,1.43,1,804,11.09,18.78,0,0
